Field=Designator~String~Designator~100|Field=Comment~String~Comment~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~20W Deathsound.PrjPcb|ReportField=ProjectFullPath~C:\Users\Smau\workspace\github\20W_DEATHSOUND\20W Deathsound.PrjPcb|ReportField=Title~Bill of Materials For Schematic Document [Preamp.SchDoc]|ReportField=TotalQuantity~29|ReportField=ReportTime~19:14:23|ReportField=ReportDate~11/07/2015|ReportField=ReportDateTime~11/07/2015 19:14:23|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Preamp.SchDoc|ReportField=DataSourceFullPath~C:\Users\Smau\workspace\github\20W_DEATHSOUND\Preamp.SchDoc
C1|68u|1
C2, C7|4.7u|2
C3|2.2u|1
C4|4.7n|1
C5|2.2n|1
C6|47n|1
C9, C10|100p|2
C15, C16|10n|2
C21, C22|1u|2
IC1|TL082|1
J1|Audio In|1
J2|Audio Out|1
J3|Power Supply|1
J4|100K Log|1
R1|1M|1
R3, R7, R9|1.3K|3
R4, R8|2.7K|2
R5|1K|1
R6|2K|1
R10|3.9K|1
R11|100|1
R[12]|100K|1
